"G1_mu_x1","G1_mu_x2","G2_mu_x1","G2_mu2_x2","dist_between_means","G1_var_x1","G1_var_x2","G1_covar","G1_corr","G2_var_x1","G2_var_x2","G2_covar","G2_corr","G1_skew_x1","G1_skew_x2","G2_skew_x1","G2_skew_x2"
1,0.827238362183251,0.0512778757096982,0.845629232186434,0.0507367643451374,1427.81482089802,0.827238362183251,0.0446271351794723,-1069.53592725491,0.809048505012919,6,0.0451030868946651,6,0.67075609677263,0.0522585358085453,0.845627049205166,0.0560772861906721
2,0.864197273436819,0.0456395201912874,0.882967786099494,0.0581691215888289,1362.07358760296,0.845548420739878,0.0482746535654314,-1015.07507941602,0.562595297853913,8,0.0233274999502764,8,0.791045723824611,0.0531057490202704,0.864186055440181,0.0420651388858012
3,0.940602325119809,0.0766962424188144,0.921205532723496,0.0631267427456376,1379.29657196249,0.921205214366756,0.0668926613479835,-973.671885219829,0.902009703829664,7,0.0664808164124265,5,0.921205055187421,0.0940459870880903,0.940602325119809,0.0766962424188144
4,0.864219193672442,0.0319993175242418,0.809051390336168,0.0694501321941425,1343.97265587443,0.864221058897664,0.0286501451772374,-1006.83160495585,0.809051390336168,8,0.0694501321941425,8,0.791063815113801,0.0709284693409148,0.845626338163652,0.0319993175242418
5,0.72109917787477,0.0148786376187939,0.755672345620027,0.0512488766928455,1288.07293680733,0.738285110199738,0.0363128886777961,-1005.95480355935,0,1,0,1,0.72112567932012,0.0670967855442577,0.738286146479819,0.0476963392204927
6,0.9601255721652,0.0646112874174422,0.921026689482213,0.0864723678114543,1290.71274785352,0.9601255721652,0.0646112874174422,-897.864014657378,0.845144376129833,3,0.0855002290813235,8,0.80835570932063,0.0855002290813235,0.9601255721652,0.0646112874174422
7,0.809042863336861,0.077281733013027,0.809042863336861,0.077281733013027,1302.01190984782,0.845624396799846,0.0656430121713089,-1095.61604362688,0.590925134556626,2,0.0241810141058686,3,0.845624396799846,0.0738379157245759,0.809042863336861,0.077281733013027
8,0.827234697603525,0.0312283522170093,0.809042996426392,0.0312283522170093,1302.16283298375,0.809054800151229,0.0340202193720261,-1060.74168659006,0.845627398486318,8,0.0596420047404211,8,0.809041947135781,0.0413240353375575,0.845627398486318,0.0596420047404211
9,1,0.0443711524342842,0.960200120203677,0.0443711524342842,1355.23138072226,0.940601266756813,0.0335808655309371,-1042.8368377993,0.845616587190167,1,0.038045570034041,1,0.88300866464994,0.0666430497605576,0.979999686871692,0.0509973961982536
10,0.755587655551043,0.0442028413590911,0.687336980281547,0.0198706729435667,1292.14294649723,0.670749392249693,0.0256363387386694,-928.326227947489,0.168431990550663,3,0.0395683288147678,3,0.544724046970722,0.0373122154022729,0.755587655551043,0.0442028413590911
11,0.72111850234265,0.0191960209787197,0.773263526151557,0.0376977496144414,1252.87642572492,0.773263526151557,0.0376977496144414,-904.364825818386,0.687359275086448,4,0.0593812191429933,4,0.704146228086101,0.0635032868800729,0.738295472631268,0.0278532422276623
12,1,0.129089713142189,0.979999997171788,0.129089713142189,1278.18454435288,1,0.129089713142189,-842.146641123557,0.545331404769278,2,0.0401009457569216,5,1,0.129089713142189,1,0.129089713142189
13,0.827233273610604,0.05238320129085,0.883014512915413,0.00932873527496225,1229.81717822074,0.864218820621249,0.0565813017728276,-909.927561168706,0.596267321935571,3,0.0248372517995817,2,0.827233273610604,0.05238320129085,0.845625489895031,0.062330146157265
14,0.704119180432109,0.0124950584722841,0.32201023728211,0.0124843318266302,1223.33374966887,0.501743391462135,0.0144789052699295,-867.307278685163,0.738290198996336,2,0.0309536485025861,1,0.704122025584362,0.0630094874060245,0.738288401418066,0.0288740028129361
15,0.921204199587476,0.115832492017436,0.921204199587476,0.0797941694143097,1241.7823932032,0.921204199587476,0.115832492017436,-809.881427121188,0.883013066561078,5,0.0743773736681843,5,0.845629232186434,0.0761614567217649,0.921204199587476,0.115832492017436
16,0.545441215817965,0.0325146883864421,0.560306188604098,0.00964328692358073,1196.62436824193,0.575479428012346,0.0298820484883101,-973.680577073312,0.61482717747546,7,0.0557910222229255,8,0.381670500945803,0.0674396008207152,0.654408770300375,0.0225922589231252
17,0.606501716824884,0.0395814779626121,0.721099752576882,0.0150532292746739,1171.04630262505,0.738284848484849,0.020862415939223,-934.872168753925,0.459964139758024,3,0.0284739818846281,3,0.590935049314774,0.0404557575815457,0.590918524450845,0.0125005898506777
18,0.921204119199921,0.0572381210929598,0.96020003979996,0.108071867091864,1264.13272729847,0.96020003979996,0.108071867091864,-933.391557774013,0.921204431198225,4,0.0572381210929598,2,0.96020003979996,0.0562778931050218,0.921204119199921,0.0572381210929598
19,0.864219528319563,0.0376262938084843,0.960200080403878,0.0619621079578174,1349.7178654273,0.960200080403878,0.0619621079578174,-995.834724573629,0.827236100632415,5,0.0493294571701609,9,0.960200080403878,0.0619621079578174,0.902008183504801,0.0376262938084843
20,0.902008401262559,0.0634794758327141,0.979999912325062,0.0539789069521637,1296.25048340132,0.979999912325062,0.0539789069521637,-971.942219707821,0.940602418714721,1,0.0756559079278772,1,0.921206186142648,0.0565534374828679,0.92120498276061,0.0634794758327141
21,1,0.185885160604185,1,0.185885160604185,1318.08072763694,1,0.185885160604185,-933.474262885481,1,1,0.214851346587458,7,1,0.185885160604185,1,0.185885160604185
22,0.921206646951831,0.0762040057310387,0.960200618699473,0.0467118138987612,1334.49064266513,0.921204278383038,0.0383958702109814,-985.950199938919,0.940603275454443,4,0.0762040057310387,1,0.960200618699473,0.083241167690464,0.921206646951831,0.0762040057310387
23,0.979999718386985,0.112855245538211,0.940601883539833,0.0942354743356569,1201.04927479199,0.940601883539833,0.0942354743356569,-914.110116878024,0.687381996094604,8,0.0432256095045114,5,0.979999718386985,0.112855245538211,0.979999718386985,0.112855245538211
24,0.960192631615903,0.110319396374832,1,0.115269626587664,1281.47015979886,1,0.115269626587664,-876.388630306797,0.979994837181788,3,0.110319396374832,4,0.960192631615903,0.110319396374832,0.979994837181788,0.0789497423407618
25,0.979999505050755,0.0452172380009634,0.9602,0.0688940552513929,1307.93593081095,0.9602,0.0688940552513929,-1060.05354689255,0.670799323747023,1,0.0147547597938067,1,0.940601545150735,0.0688940552513929,0.979999505050755,0.0452172380009634
26,0.864221700742728,0.0931227407226477,0.883015112007591,0.0931227407226477,1250.60241072874,0.883015112007591,0.0931227407226477,-1071.14640924046,0.606348466239397,3,0.0176618885950599,5,0.845628189040945,0.0926637450245654,0.864221700742728,0.0931227407226477
27,0.979996489573595,0.0631086256368191,1,0.108621072568339,1229.91749055498,1,0.108621072568339,-954.676018094971,1,6,0.108621072568339,6,1,0.108621072568339,0.960195487213621,0.0631086256368191
28,0.246432132582221,0.0261267096150516,0.54532341836209,0.0134430656876469,1687.41361767094,0.487433851745163,0.0065114219511282,-1022.59373628106,0.130078042766513,8,0.0289547726917094,7,0.0983731805776666,0.0821674492887902,0.246432132582221,0.0261267096150516
29,0.310517771908996,0.0505677141991354,0.288418982547105,0.0505677141991354,1529.56268950243,0.333350591505684,0.0527368268316816,-969.783996054388,0.246918794052436,7,0.0447548195616519,1,0.369169815985258,0.049190945749859,0.321850124874165,0.0505677141991354
30,0.755645185225848,0.0628714640871801,0.88300866464994,0.018917903631358,1534.36419493821,0.88300866464994,0.018917903631358,-888.643393982961,0.750339016318269,8,0.0862928277033762,9,0.864212346759389,0.0929414504404741,0.755645185225848,0.0628714640871801
31,0.333550536712349,0.0478629839792943,0.53054114619134,0.0282794643860595,1517.38273109907,0.48743084369368,0.0108934397508233,-935.358380562447,0.288800167081884,1,0.0587863872898709,4,0.446226582299574,0.0644373870548738,0.369333650193895,0.0414215073471502
32,0.21784421561117,0.0601414683599589,0.501661265460761,0.0099550843356935,1469.35430642753,0.473590088121266,0.00975330335850583,-886.466400874012,0.367029520224046,2,0.096094287430064,9,0.237060895335338,0.0439245283126316,0.246972329267916,0.0376099886524648
33,0.77326924244128,0.0770793013441845,0.845632679611824,0.016552211298039,1592.85264574833,0.883016577217044,0.016552211298039,-846.800212389174,0.940601785143401,2,0.0697536886634827,8,0.940601785143401,0.0402967128831335,0.864219193672442,0.0392724085275734
34,0.321262691101235,0.0359612015652791,0.560290626115845,0.0106936891613562,1533.20816906915,0.515961144687771,0.0106936891613562,-969.629828805038,0.271359750998004,5,0.041033460474668,8,0.406528597609724,0.0290946863851033,0.393700015711062,0.0517276909074612
35,0.173446470874781,0.0358934414413431,0.606441303855975,0.0164929469909436,1576.55219287625,0.575487249103074,0.0163959142275227,-951.04704027362,0.421781514364322,3,0.0501014650039809,1,0.208467152766168,0.0526100005634145,0.237046760819131,0.050715322189916
36,0.40663790661262,0.0416942043159672,0.738291348904778,0.0201206131086851,1625.6453784345,0.773266237760822,0.0149660017952218,-961.635936159706,0.687336841323784,1,0.0535355217408926,7,0.755678278439442,0.0421822274156132,0.590855122687253,0.038090097432133
37,0.17831454202551,0.0340130541304418,0.86419854110756,0.022409717655922,1720.14570093139,0.86419854110756,0.022409717655922,-1055.61201143693,0.493136169853118,9,0.0154143781358023,7,0.0238262088297127,0.0561671253546818,0.827220910411011,0.0187052752436249
38,0.883013864187377,0.00672540151347649,0.827237182554554,0.0226719931400585,1613.87155544052,0.827235179242876,0.0302642101403156,-1052.68874755627,0.342734003705011,2,0.030079069474721,9,0.755683450912105,0.0267060104614881,0.864219193672442,0.00672540151347649
39,0.419955698338866,0.0310426553077856,0.96020003979996,0.0301246626405326,1637.31677688474,0.96020003979996,0.0301246626405326,-960.213001465377,0.119965979627731,4,0.0381528520219638,6,0.96020019739094,0.048918929569281,0.864222046349094,0.0520128751480036
40,0.322021322978937,0.0717333081123035,0.845627136525602,0.0184868764240516,1667.55242615051,0.845627136525602,0.0184868764240516,-1035.69954206929,0.360806812457258,7,0.0287691517470928,9,0.157076827152461,0.0658823859852025,0.310699701449347,0.0333160314646604
41,0.864217108948314,0.0268075492759548,0.883013520323151,0.0268075492759548,1521.33066175907,0.883013520323151,0.0268075492759548,-995.342249436187,0.883013520323151,1,0.0532803419697074,7,0.864205762537913,0.0317015848098198,0.864217108948314,0.0268075492759548
