"setting","ARI 1","Dunn 1","ARI2","Dunn2","BIC2","ARI3","Dunn3","BIC3","ARI4","nARI4","Dunn4","nDunn4","ARI5","Dunn5","ARI6","Dunn6"
1,0.883014314398308,0.0570628590807055,0.90200948211856,0.00939545655707467,1423.16427295773,0.883014314398308,0.00842088565417894,-1075.55920419801,0.372703591036735,7,0.0275886670083695,6,0.80904430802344,0.0511875411223205,0.864220625511668,0.0570628590807055
2,0.827233748277519,0.0432432376094861,0.845626338163652,0.0113060059147946,1290.27838162177,0.827233748277519,0.0432432376094861,-969.84043817856,0.84562570196306,9,0.0430520876957974,9,0.84562570196306,0.104305849460073,0.827233748277519,0.0432432376094861
3,0.979999997171788,0.098094844342289,0.979999997171788,0.098094844342289,1381.08451088316,0.979999997171788,0.098094844342289,-960.759585150881,0.979999929294465,8,0.0976238729055619,9,0.979999929294465,0.0925108131753816,0.979999997171788,0.098094844342289
4,0.883015026929786,0.0456040694735423,0.845628064299135,0.0630651883164742,1349.27001741006,0.845628064299135,0.0630651883164742,-1020.53658937261,0.569136180245746,3,0.0228218775805044,4,0.864221058897664,0.0535620991589522,0.883015026929786,0.0456040694735423
5,0.809045224201866,0.0900011198378775,0.755678515351372,0.0249061469111104,1267.1964122041,0.791055305928898,0.0971951782344794,-981.589816441228,0.738292089070384,1,0.0493887147955889,1,0.791055305928898,0.0971951782344794,0.755678515351372,0.0249061469111104
6,0.960200080403878,0.112179936571906,1,0.126100590963279,1325.05197288412,1,0.126100590963279,-904.754819453202,1,3,0.126100590963279,3,0.940602325119809,0.0771342216158375,0.960200080403878,0.112179936571906
7,0.883012701421855,0.0680516336754732,0.883012701421855,0.0680516336754732,1329.47930539408,0.864218014165338,0.0324289801453509,-1098.86660405144,0.548110957189041,9,0.0247257486189274,7,0.638212263168036,0.0516792773480984,0.864218820621249,0.0680516336754732
8,0.755678623935854,0.0778587033630991,0.755678623935854,0.0778587033630991,1240.0506870659,0.738287978454884,0.0776147383129414,-1057.20116660597,0.704134648793219,2,0.0578545278065655,2,0.755678623935854,0.0778587033630991,0.755678623935854,0.0778587033630991
9,0.940601785143401,0.0899159704037348,0.940601785143401,0.0899159704037348,1357.6037256466,0.940601785143401,0.0899159704037348,-1030.5957357013,0.827236093652228,8,0.044767487821617,1,0.864221036954136,0.046591148348102,0.940601785143401,0.0899159704037348
10,0.738264226878481,0.0458967365037705,0.809031144944401,0.0659060653341698,1326.10460820217,0.809031144944401,0.0659060653341698,-965.720574922412,0.206015777295997,7,0.0284927660020883,7,0.791022452959708,0.0662907415619946,0.738264226878481,0.0458967365037705
11,0.65424349956398,0.025661276161531,0.738240259431667,0.0276021856816943,1288.7843152756,0.755587655551043,0.018839413866466,-947.166683652266,0.560301925018247,1,0.039407445518611,8,0.405360573489241,0.046043223925664,0.622039159972899,0.0127719926295961
12,0.921205055187421,0.0333263262716009,0.940602325119809,0.0359573229932695,1353.05826687954,0.940602325119809,0.0359573229932695,-903.126617244721,0.940602325119809,2,0.0536912314497801,5,0.921205055187421,0.104146412448696,0.940602325119809,0.0650015820657005
13,0.755689758268462,0.0545241310542313,0.773261730590811,0.0278844024230926,1269.28869546234,0.721107460117496,0.0469214747214806,-914.84109104941,0.516169316870255,6,0.0217891029385686,3,0.755689758268462,0.0545241310542313,0.738300653539318,0.0509588120940459
14,0.755674280481314,0.0375112350839994,0.791051760230626,0.0152455464735399,1216.31985804503,0.773261650431186,0.0152455464735399,-884.753182734429,0.79105010553025,3,0.0396184571959515,7,0.459580039765288,0.0409077257432612,0.755674280481314,0.0375112350839994
15,0.940601662747383,0.0439412385181391,0.883015017476689,0.0390206249245148,1257.83531832261,0.845630509201854,0.0363293063460829,-832.899533320596,0.940602015534536,5,0.0461557540607088,3,0.704155598432229,0.0446793500333778,0.940601662747383,0.0439412385181391
16,0.65439996040826,0.0223279401232042,0.67057267157547,0.0472787431803535,1254.9888863838,0.687185177437521,0.0412548564106735,-972.458089407788,0.637940719615562,1,0.0351587132969926,4,0.57504546804598,0.0448429217140184,0.721122288047131,0.05675555808122
17,0.773266274403746,0.0618127892544936,0.738291391200068,0.0195725625481298,1176.68900643193,0.773263984198215,0.0432246141443275,-941.713879522281,0.338255717051548,7,0.0165170255862735,7,0.721109048899663,0.0578827917894041,0.755677528215296,0.0652372686358908
18,0.902003444064399,0.0735731962348583,0.921206086658093,0.0550068581626581,1196.05347954121,0.940602418714721,0.0604852986334772,-875.202397241996,0.8090519361462,1,0.0538918515840502,2,0.9212020179225,0.113671223490219,0.9212020179225,0.113671223490219
